dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
dayin-06-1,node009,LuXinsheng,路薪声,Npc,Neutral,教授只说“呈现采写实践的最终成果”，可这“呈现”… 是不是得弄点形式感？我心里有点没谱。{playerName}觉得呢？我想听听你的意见。,,,,FALSE,,,参考《北xx报》，做报纸的形式。,node010,结合阅读习惯，做网页新闻样式。,node017,方便老师批阅，做pdf文件。,node021
dayin-06-1,node010,LuXinsheng,路薪声,Npc,Neutral,这个主意好！我可以弄一个简单的报纸排版，标题、正文、照片的位置排一排，感觉更像个新闻产品呢！这可是我们新闻采写最经典的载体。,node011,,,FALSE,,,,,,,,,
dayin-06-1,node011,player,playerName,Player,Neutral,报纸排版是经典的栏式结构，信息密度高，空间编排本身就是一种叙事逻辑。标题字号、图片大小、留白…都在传递编辑的意图。,node012,,,FALSE,,,,,,,,,
dayin-06-1,node012,player,playerName,Player,Neutral,报纸版面的学问很多，例如‘印张’与‘开’、版芯、版次、报头、报眼、报线、报眉、中缝、通版、基本栏......,node013,,,FALSE,,,,,,,,,
dayin-06-1,node013,LuXinsheng,路薪声,Npc,Neutral,哇......,node014,,,FALSE,,,,,,,,,
dayin-06-1,node014,LuXinsheng,路薪声,Npc,Neutral,听起来太厉害了！脑海里已经有报纸那种复古经典形式的样子了，而且报纸排版清新直接，让人一眼抓住重点。,node015,,,FALSE,,,,,,,,,
dayin-06-1,node015,system,旁白,System,Neutral,路薪声走向打印机操作电脑，语气轻快起来。,node016,,,FALSE,,,,,,,,,
dayin-06-1,node016,LuXinsheng,路薪声,Npc,Neutral,标题用几号字？照片放左边还是右边？…啧，感觉排一次版，比写稿子还费脑子，但…好像更有意思了！,node026,,,FALSE,,,,,,,,,
dayin-06-1,node017,LuXinsheng,路薪声,Npc,Neutral,这个主意好！我可以弄一个网页新闻的样式，单栏长文滚动下去，重点信息加粗突出，照片穿插在相关的段落旁边。,node018,,,FALSE,,,,,,,,,
dayin-06-1,node018,player,playerName,Player,Neutral,网页新闻更贴近现在大家的真实阅读习惯，而且没有版面的物理限制，理论上可以无限长。,node019,,,FALSE,,,,,,,,,
dayin-06-1,node019,player,playerName,Player,Neutral,但是这种线上新闻阅读形式很难留住读者的注意力，照片得在关键节点‘卡’住视线，引语和标题也要够吸引人。,node020,,,FALSE,,,,,,,,,
dayin-06-1,node020,LuXinsheng,路薪声,Npc,Neutral,听起来很考验‘钩子’的设计呢。好，试试看！感觉会很有意思呢。,node026,,,FALSE,,,,,,,,,
dayin-06-1,node021,LuXinsheng,路薪声,Npc,Neutral,有道理！既然是作业，目的还是让老师清晰、高效地看到我们的采写过程，我要一页页地排好，加上页眉页脚注明课程、姓名、日期......,node022,,,FALSE,,,,,,,,,
dayin-06-1,node022,player,playerName,Player,Neutral,pdf的好处是格式稳定，而且兼容性强，还方便批注。,node023,,,FALSE,,,,,,,,,
dayin-06-1,node023,LuXinsheng,路薪声,Npc,Neutral,不过如果是简单的pdf，会不会显得一点‘包装’都没有呢？,node024,,,FALSE,,,,,,,,,
dayin-06-1,node024,player,playerName,Player,Neutral,就算是最朴素的pdf、字号、间距、段间距、图片与文字的搭配......这些选择本身也在无声地影响着阅读体验和信息的接受效率。,node025,,,FALSE,,,,,,,,,
dayin-06-1,node025,LuXinsheng,路薪声,Npc,Neutral,了解了！那就这么定了。,node026,,,FALSE,,,,,,,,,
dayin-06-1,node026,system,旁白,System,Neutral,她没有让你等太久，短短几分钟的时间，这份报道的纸质版作业就做出来了。随着彩色打印机2号的嗡鸣，这份作业开始打印了。,node027,,,FALSE,,,,,,,,,
dayin-06-1,node027,LuXinsheng,路薪声,Npc,Neutral,{playerName}你真的知道好多事情呀！我有点好奇你究竟是什么来头呢，虽然你说你自己都不记得了。,node028,,,FALSE,,,,,,,,,
dayin-06-1,node028,player,playerName,Player,Neutral,或许就像你们方老师说的，我只是《院史年鉴》里的精灵吧。,node029,,,FALSE,,,,,,,,,
dayin-06-1,node029,LuXinsheng,路薪声,Npc,Neutral,这样想想也很合理呢，毕竟看起来新闻知识对你来说就是了如指掌。,node030,,,FALSE,,,,,,,,,
dayin-06-1,node030,LuXinsheng,路薪声,Npc,Neutral,不过不管你是谁，我就是觉得你很厉害！,node031,,,FALSE,,,,,,,,,
dayin-06-1,node031,LuXinsheng,路薪声,Npc,Neutral,而且总有一种让人熟悉又想要亲近的感觉!,node032,,,FALSE,,,,,,,,,
dayin-06-1,node032,system,旁白,System,Neutral,第一张印着报道的纸张被吐出来。路薪声拿起还带着微微温热的纸页，仔细看了看，脸上露出一个混合着完成任务的释然和对成果审视的认真表情。,node033,,,FALSE,,,,,,,,,
dayin-06-1,node033,LuXinsheng,路薪声,Npc,Neutral,嘿嘿这下可以交上作业咯。,node034,,,FALSE,,,,,,,,,
dayin-06-1,node034,system,旁白,System,Neutral,正当你和路薪声准备离开，迎面走来一个同样带着相机和电脑的同学。,node035,,,FALSE,,,,,,,,,
dayin-06-1,node035,Jiangwei,江苇,Npc,Neutral,哎？你也来打印作业吗。,node036,,,FALSE,,,,,,,,,
dayin-06-1,node036,LuXinsheng,路薪声,Npc,Neutral,哈喽哈喽老江！我已经打印完啦，晚上就交上去了。,node037,,,FALSE,,,,,,,,,
dayin-06-1,node037,system,旁白,System,Neutral,男同学看了看路薪声手中单薄的一张纸，虽然很疑惑，但还是忍不住提醒。,node038,,,FALSE,,,,,,,,,
dayin-06-1,node038,Jiangwei,江苇,Npc,Neutral,姐妹，要我说你还是去看看老师发的字数要求吧，你是不是把《新闻传播伦理与法规》和《新闻采写实践》的字数要求记混了？,node039,,,FALSE,,,,,,,,,
dayin-06-1,node039,LuXinsheng,路薪声,Npc,Neutral,哎......什么！！,node040,,,FALSE,,,,,,,,,
dayin-06-1,node040,Jiangwei,江苇,Npc,Neutral,素的宝宝~《新闻采写实践》硬性要求一共是8000字哦，而《新闻传播伦理与法规》只需要1500字。,node041,,,FALSE,,,,,,,,,
dayin-06-1,node041,system,旁白,System,Neutral,你看到路薪声从震惊、回想到错愕、后悔，你知道她确实是把字数要求记反了。,node042,,,FALSE,,,,,,,,,
dayin-06-1,node042,LuXinsheng,路薪声,Npc,Neutral,我多写了6500个字！！而手头的作业只完成了一点点......,node043,,,FALSE,,,,,,,,,
dayin-06-1,node043,system,旁白,System,Neutral,哀嚎声只到一半就戛然而止，她似乎想到了什么，赶紧收起伤心的情绪。,node044,,,FALSE,,,,,,,,,
dayin-06-1,node044,player,playerName,Player,Neutral,没事，还来得及。,node045,,,FALSE,,,,,,,,,
dayin-06-1,node045,LuXinsheng,路薪声,Npc,Neutral,没关系，没关系，我会做完的！,,,,TRUE,,,,,,,,,
