dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
shitang-05-2,node003,LuXinsheng,路薪声,Npc,Neutral,这个好吃！好吃到那二娜在旁边唱love is like fire都不会发现的程度。,node005,,,FALSE,,,,,,,,,
shitang-05-2,node004,Cenyanzhi,陈砚知,Npc,Neutral,这个味道还可以，碳水蛋白质暴力组合。,node005,,,FALSE,,,,,,,,,
shitang-05-2,node005,LuXinsheng,路薪声,Npc,Neutral,{playerName}不要客气！如果不够吃再刷我的卡就好啦。,node006,,,FALSE,,,,,,,,,
shitang-05-2,node006,system,旁白,System,Neutral,饭菜的香气在鼻尖萦绕不散，食材也显得格外新鲜。食堂内人满为患，碗筷碰撞与打饭的声响，交织着学生们用餐时的欢声笑语。,node007,,,FALSE,,,,,,,,,
shitang-05-2,node007,Cenyanzhi,陈砚知,Npc,Neutral,你们待会吃了饭去哪里？,node008,,,FALSE,,,,,,,,,
shitang-05-2,node008,LuXinsheng,路薪声,Npc,Neutral,我们晚点去图书馆还书，不过我们要先去一趟藏书馆。,node009,,,FALSE,,,,,,,,,
shitang-05-2,node009,Cenyanzhi,陈砚知,Npc,Neutral,我晚点也会去图书馆，期待和你们碰头咯。,node010,,,FALSE,,,,,,,,,
shitang-05-2,node010,LuXinsheng,路薪声,Npc,Neutral,说起来，你这学期有选修什么课吗？,node011,,,FALSE,,,,,,,,,
shitang-05-2,node011,Cenyanzhi,陈砚知,Npc,Neutral,问这个干嘛,node012,,,FALSE,,,,,,,,,
shitang-05-2,node012,Cenyanzhi,陈砚知,Npc,Neutral,想刺探军情啊，还是暗恋我？,node013,,,FALSE,,,,,,,,,
shitang-05-2,node013,LuXinsheng,路薪声,Npc,Neutral,哎，我就不该问.,node014,,,FALSE,,,,,,,,,
shitang-05-2,node014,Cenyanzhi,陈砚知,Npc,Neutral,我选的选修课都对我学习传播学挺有好处的：《基础写作》、《多媒体叙事》、《社会化传播》、《红楼梦与中国文化》、《爱情哲学》......,,,,FALSE,,,爱情哲学？,node015,红楼梦？,node018,,,
shitang-05-2,node015,player,playerName,Player,Neutral,爱情哲学？,node016,,,FALSE,,,,,,,,,
shitang-05-2,node016,Cenyanzhi,陈砚知,Npc,Neutral,哎呀......那个嘛,node017,,,FALSE,,,,,,,,,
shitang-05-2,node017,Cenyanzhi,陈砚知,Npc,Neutral,好吧，其实我自己想去听，嘿嘿。,node018,,,FALSE,,,,,,,,,
shitang-05-2,node018,LuXinsheng,路薪声,Npc,Neutral,嗯？,node019,,,FALSE,,,,,,,,,
shitang-05-2,node019,LuXinsheng,路薪声,Npc,Neutral,等等......！？你是怎么抢到鼠鼠老师的课的！,node020,,,FALSE,,,,,,,,,
shitang-05-2,node020,Cenyanzhi,陈砚知,Npc,Neutral,就是抢到了啊，我跟你这个蹭课听的可不一样~,node021,,,FALSE,,,,,,,,,
shitang-05-2,node021,LuXinsheng,路薪声,Npc,Neutral,你不会连这个也要花钱请代抢吧.,node022,,,FALSE,,,,,,,,,
shitang-05-2,node022,Cenyanzhi,陈砚知,Npc,Neutral,谁说的！......哎，不和你说这个了，上个星期我也被方怀古打微信电话了，我本来只是想问问小组作业的问题，他也太较真了！,node023,,,FALSE,,,,,,,,,
shitang-05-2,node023,LuXinsheng,路薪声,Npc,Neutral,我就说吧！还有还有，我跟你说...,node024,,,FALSE,,,,,,,,,
shitang-05-2,node024,system,旁白,System,Neutral,......,node025,,,FALSE,,,,,,,,,
shitang-05-2,node025,system,旁白,System,Neutral,三人边吃边聊，临近尾声时，陈砚知的目光落在你随身携带的【泛黄的记者证】上，神色一动，随即放下筷子，饶有兴致地追问起你工作的种种细节。,node026,,,FALSE,,,,,,,,,
shitang-05-2,node026,player,playerName,Player,Neutral,我的记者证件在很久之前就弄丢了，不知道为什么刚在立德楼里捡回了它。,node027,,,FALSE,,,,,,,,,
shitang-05-2,node027,system,旁白,System,Neutral,你就此开始讲起你最初的记忆——以前中国电视事业刚兴起时去做了记者，那时的中国广播电视台已经开始了新的发展。,node028,,,FALSE,,,,,,,,,
shitang-05-2,node028,system,旁白,System,Neutral,从某一年开始，你要学习的东西越来越多了，为了跟上中央的呼应，你开始报道社会上更多层次的内容。那一段时间这个行业改变很多，新闻工作者开始变少，但是新闻工作质量却在上升。,node029,,,FALSE,,,,,,,,,
shitang-05-2,node029,Cenyanzhi,陈砚知,Npc,Neutral,让我猜猜，是1961年左右的时候对吧！,node030,,,FALSE,,,,,,,,,
shitang-05-2,node030,player,playerName,Player,Neutral,正是。,node031,,,FALSE,,,,,,,,,
shitang-05-2,node031,LuXinsheng,路薪声,Npc,Neutral,哎？为什么是1961.,node032,,,FALSE,,,,,,,,,
shitang-05-2,node032,Cenyanzhi,陈砚知,Npc,Neutral,哼，不告诉你，自己去查咯。,node033,,,FALSE,,,,,,,,,
shitang-05-2,node033,LuXinsheng,路薪声,Npc,Neutral,所以后来呢？你有去大报社工作吗。比如《人民日报》、《解放军报》......,node034,,,FALSE,,,,,,,,,
shitang-05-2,node034,player,playerName,Player,Neutral,其实一开始我只是在小报社工作而已，后来不再从事这项工作了。,node035,,,FALSE,,,,,,,,,
shitang-05-2,node035,system,旁白,System,Neutral,一段记忆涌上心头，自你诞生不过数十年，还未深入最热爱的新闻事业，你看到周围的同事一个一个从小报社离开，你的初心有些许动摇，直到那篇社论的发表。,node036,,,FALSE,,,,,,,,,
shitang-05-2,node036,LuXinsheng,路薪声,Npc,Neutral,啊，我是不是不该提起这些。,node037,,,FALSE,,,,,,,,,
shitang-05-2,node037,Cenyanzhi,陈砚知,Npc,Neutral,说起来这些事情未免也太久远了，其实我刚刚就想问了，{playerName}你也保养的太好了吧，一点岁月的痕迹都没有，就像......,node038,,,FALSE,,,,,,,,,
shitang-05-2,node038,Cenyanzhi,陈砚知,Npc,Neutral,就像你不是这个时代的人一样。,node039,,,FALSE,,,,,,,,,
shitang-05-2,node039,player,playerName,Player,Neutral,嗯这......,node040,,,FALSE,,,,,,,,,
shitang-05-2,node040,system,旁白,System,Neutral,直接告诉她自己的身份会不会让事情变得更麻烦？或许不要再让他人牵涉进来了。,node041,,,FALSE,,,,,,,,,
shitang-05-2,node041,LuXinsheng,路薪声,Npc,Neutral,热爱事业的人永远年轻啦！别说这个了，快跟我讲讲你上学期的《数据与信息技术基础》怎么拿到满分的！,node042,,,FALSE,,,,,,,,,
shitang-05-2,node042,Cenyanzhi,陈砚知,Npc,Neutral,好啦！我们吃的差不多了，我待会还有期末汇报要准备呢，我们先走吧。,node043,,,FALSE,,,,,,,,,
shitang-05-2,node043,LuXinsheng,路薪声,Npc,Neutral,可恶呢......,,,,TRUE,,,,,,,,,
,,,,,,,对话结束。画面切回上一个场景东区食堂门口。,,,,,,,,,,,,
chenyan-05-3,node001,Cenyanzhi,陈砚知,Npc,Neutral,我有事要先走啦{playerName}，很高兴认识你！......还有，下次见~我的手下败将·小矮子·万年老二·路薪声。,node002,,,FALSE,,,,,,,,,
chenyan-05-3,node002,system,旁白,System,Neutral,还不等路薪声反驳她，陈砚知就匆匆离开了。,node003,,,FALSE,,,,,,,,,
chenyan-05-3,node003,LuXinsheng,路薪声,Npc,Neutral,真是的，{playerName}，我才不是她说的那样，对吧！,,,,TRUE,,,,,,,,,
xiaoxiao-05-3,node001,Xiaoxiao,晓晓,Npc,Neutral,呜呜瑞士卷真好吃......祚荣主任我将永远追随你。,,,swiss_rolls,FALSE,,,,,,,,,
,,,,,,,获得道具：【人大瑞士卷】,,,,,,,,,,,,
jiaoyi_fight_over_dialogue,node001,system,旁白,System,Neutral,这是“诈骗snake”。虚假广告在千人转发中膨脹成妖蛇，每个充满诱惑的标题都在啃噬理性的地基。它的鳞片变成闪烁的“红包”，是诱人堕入传播陷阱的饵料。,,,,,,,,,,,,,
dayindian_dialogue,node001,LuXinsheng,路薪声,Npc,Neutral,{playerName}，你可以陪我去教一打印一下我刚采写的内容吗？老师说不仅要电子版也要交纸质版的作业呢。,node002,,,FALSE,,,,,,,,,
dayindian_dialogue,node002,LuXinsheng,路薪声,Npc,Neutral,说起来这里的打印店人流量很大，我们还可以在那里打听打听有没有时空裂缝的线索。,node003,,,FALSE,,,,,,,,,
dayindian_dialogue,node003,player,playerName,Player,Neutral,走吧。,,,,FALSE,,,,,,,,,
