﻿dialogueID,nodeID,speakerID,speakerName,speakerType,emotion,text,nextNodeID,questID,rewardIDs,isFollow,conditionType,conditionValue,choice1,choice1NextNode,choice2,choice2NextNode,choice3,choice3NextNode
fight_over_dialogue,node002,LuXinsheng,路薪声,Npc,Smile,不不不，重点不是这个，为什么会出现这种东西，难道我熬夜太多出现幻觉了？不过刚刚你很快就击败它了，真的好厉害！,,,,FALSE,,,解释,node003,,,,
fight_over_dialogue,node003,player,???,Player,Neutral,我只是寄宿在书里的幽灵罢了，有些事情我也不太清楚。,node004,,,FALSE,,,,,,,,
fight_over_dialogue,node004,LuXinsheng,路薪声,Npc,Happy,幽灵！真的假的……嗯对了，请问怎么称呼你呢？,,,,FALSE,,,,,,,,
dialogue_001,node001,player,playerName,Player,Neutral,你可以叫我{playerName},node002,,,FALSE,,,,,,,,
dialogue_001,node002,LuXinsheng,路薪声,Npc,Smile,谢谢你{playerName}，我是新闻学院新闻系的路薪声！你可以叫我小路。,node003,,,FALSE,,,,,,,,
dialogue_001,node003,LuXinsheng,路薪声,Npc,Confused,嗯…{playerName}，虽然我可以带你去还书，不过你得陪我完成一个任务！,node004,,,FALSE,,,,,,,,
dialogue_001,node004,LuXinsheng,路薪声,Npc,Neutral,作为交换！我会帮助你找到回去的路的。,node005,,,FALSE,,,,,,,,
dialogue_001,node005,player,playerName,Player,Neutral,请讲。,node006,,,FALSE,,,,,,,,
dialogue_001,node006,LuXinsheng,路薪声,Npc,Happy,……可以麻烦你在今天陪我完成“新闻采写实践”的作业嘛~拜托拜托了！如果外面也这么危险我不敢一个人出去，要是有你在的话......,,,,FALSE,,,同意(获得道具【英雄牌墨水瓶】),node007,,,,
dialogue_001,node007,player,playerName,Player,Neutral,没问题。,node008,,,FALSE,,,,,,,,
dialogue_001,node008,LuXinsheng,路薪声,Npc,Happy,太好啦！谢谢你{playerName}.,node009,,,FALSE,,,,,,,,
dialogue_001,node009,LuXinsheng,路薪声,Npc,Happy,哦哦对了，{playerName}送你一个见面礼……我刚才看到你把手里的钢笔变成武器战斗了，我想你应该会需要这个吧！,node010,,ink_bottle,FALSE,,,,,,,,
dialogue_001,node010,LuXinsheng,路薪声,Npc,Happy,呼呼，放松心态！只要我在一天内完成一份真实的校园新闻报道就可以及时完成作业了,node011,,,FALSE,,,,,,,,
dialogue_001,node011,LuXinsheng,路薪声,Npc,Happy,我——我们赶紧出发吧！,,open_bag,,TRUE,,,,,,,,
